Seed set to 42
Trace: 0.1719275414943695, Lambda: 9.991719245910645
Trace: 0.1720554679632187, Lambda: 9.577712059020996
Trace: 0.17205803096294403, Lambda: 9.569432258605957
Trace: 0.17206059396266937, Lambda: 9.561152458190918
Trace: 0.17206315696239471, Lambda: 9.552872657775879
Trace: 0.17206571996212006, Lambda: 9.54459285736084
Trace: 0.1720682829618454, Lambda: 9.5363130569458
Trace: 0.17207084596157074, Lambda: 9.528034210205078
Trace: 0.17207340896129608, Lambda: 9.519755363464355
Trace: 0.17207597196102142, Lambda: 9.511476516723633
Trace: 0.17207853496074677, Lambda: 9.50319766998291
Trace: 0.17208105325698853, Lambda: 9.494918823242188
Trace: 0.17208361625671387, Lambda: 9.486639976501465
Trace: 0.1720861792564392, Lambda: 9.478361129760742
Trace: 0.17208874225616455, Lambda: 9.47008228302002
Trace: 0.1720913052558899, Lambda: 9.461803436279297
Trace: 0.17209386825561523, Lambda: 9.453524589538574
Trace: 0.17209643125534058, Lambda: 9.445245742797852
Trace: 0.17209899425506592, Lambda: 9.436966896057129
Trace: 0.17210155725479126, Lambda: 9.428688049316406
Trace: 0.1721041053533554, Lambda: 9.420409202575684
Trace: 0.17210666835308075, Lambda: 9.412130355834961
Trace: 0.1721092313528061, Lambda: 9.403851509094238
Trace: 0.17211179435253143, Lambda: 9.395572662353516
Trace: 0.17211435735225677, Lambda: 9.387293815612793
Trace: 0.17211692035198212, Lambda: 9.37901496887207
Trace: 0.17211948335170746, Lambda: 9.370736122131348
Trace: 0.1721220463514328, Lambda: 9.362457275390625
Trace: 0.17212460935115814, Lambda: 9.354178428649902
Trace: 0.17212717235088348, Lambda: 9.34589958190918
Trace: 0.17212973535060883, Lambda: 9.337620735168457
Trace: 0.17213228344917297, Lambda: 9.329341888427734
Trace: 0.17213484644889832, Lambda: 9.321063041687012
Trace: 0.17213740944862366, Lambda: 9.312784194946289
Trace: 0.172139972448349, Lambda: 9.304505348205566
Trace: 0.17214253544807434, Lambda: 9.296226501464844
Trace: 0.17214509844779968, Lambda: 9.287947654724121
Trace: 0.17214766144752502, Lambda: 9.279668807983398
Trace: 0.17215019464492798, Lambda: 9.271389961242676
Trace: 0.17215275764465332, Lambda: 9.263111114501953
Trace: 0.17215532064437866, Lambda: 9.25483226776123
Trace: 0.1721578985452652, Lambda: 9.246553421020508
Trace: 0.17216046154499054, Lambda: 9.238274574279785
Trace: 0.17216302454471588, Lambda: 9.229995727539062
Trace: 0.17216558754444122, Lambda: 9.221717834472656
Trace: 0.17216815054416656, Lambda: 9.21343994140625
Trace: 0.1721706986427307, Lambda: 9.205162048339844
Trace: 0.17217327654361725, Lambda: 9.196884155273438
Trace: 0.1721758395433426, Lambda: 9.188606262207031
Trace: 0.17217840254306793, Lambda: 9.180328369140625
Trace: 0.17218096554279327, Lambda: 9.172050476074219
Trace: 0.17218352854251862, Lambda: 9.163772583007812
Trace: 0.17218609154224396, Lambda: 9.155494689941406
Trace: 0.1721886545419693, Lambda: 9.147216796875
Trace: 0.17219121754169464, Lambda: 9.138938903808594
Trace: 0.17219378054141998, Lambda: 9.130661010742188
Trace: 0.17219634354114532, Lambda: 9.122383117675781
Trace: 0.17219890654087067, Lambda: 9.114105224609375
Trace: 0.172201469540596, Lambda: 9.105827331542969
Trace: 0.17220403254032135, Lambda: 9.097549438476562
Trace: 0.1722065657377243, Lambda: 9.089271545410156
Trace: 0.17220912873744965, Lambda: 9.08099365234375
Trace: 0.17221170663833618, Lambda: 9.072715759277344
Trace: 0.17221426963806152, Lambda: 9.064437866210938
Trace: 0.17221683263778687, Lambda: 9.056159973144531
Trace: 0.1722193956375122, Lambda: 9.047882080078125
Trace: 0.17222195863723755, Lambda: 9.039604187011719
Trace: 0.1722245216369629, Lambda: 9.031326293945312
Trace: 0.17222708463668823, Lambda: 9.023048400878906
Trace: 0.17222964763641357, Lambda: 9.0147705078125
Trace: 0.17223221063613892, Lambda: 9.006492614746094
Trace: 0.17223478853702545, Lambda: 8.998214721679688
Trace: 0.1722373366355896, Lambda: 8.989936828613281
Trace: 0.17223991453647614, Lambda: 8.981658935546875
Trace: 0.17224247753620148, Lambda: 8.973381042480469
Trace: 0.17224504053592682, Lambda: 8.965103149414062
Trace: 0.17224760353565216, Lambda: 8.956825256347656
Trace: 0.1722501665353775, Lambda: 8.94854736328125
Trace: 0.17225272953510284, Lambda: 8.940269470214844
Trace: 0.17225530743598938, Lambda: 8.931991577148438
Trace: 0.17225785553455353, Lambda: 8.923713684082031
Trace: 0.17226040363311768, Lambda: 8.915435791015625
Trace: 0.17226296663284302, Lambda: 8.907158851623535
Trace: 0.17226552963256836, Lambda: 8.898881912231445
Trace: 0.1722680926322937, Lambda: 8.890604972839355
Trace: 0.17227065563201904, Lambda: 8.882328033447266
Trace: 0.17227321863174438, Lambda: 8.874051094055176
Trace: 0.17227579653263092, Lambda: 8.865774154663086
Trace: 0.17227835953235626, Lambda: 8.857497215270996
Trace: 0.1722809225320816, Lambda: 8.849220275878906
Trace: 0.17228348553180695, Lambda: 8.840943336486816
Trace: 0.1722860485315323, Lambda: 8.832666397094727
Trace: 0.17228862643241882, Lambda: 8.824389457702637
Trace: 0.17229118943214417, Lambda: 8.816112518310547
Trace: 0.1722937524318695, Lambda: 8.807835578918457
Trace: 0.17229631543159485, Lambda: 8.799558639526367
Trace: 0.17229889333248138, Lambda: 8.791281700134277
Trace: 0.17230144143104553, Lambda: 8.783004760742188
Trace: 0.17230401933193207, Lambda: 8.774727821350098
Trace: 0.17230655252933502, Lambda: 8.766450881958008
Trace: 0.17230913043022156, Lambda: 8.758173942565918
Trace: 0.1723116934299469, Lambda: 8.749897003173828
Trace: 0.17231425642967224, Lambda: 8.741620063781738
Trace: 0.17231681942939758, Lambda: 8.733343124389648
Trace: 0.17231939733028412, Lambda: 8.725066184997559
Trace: 0.17232194542884827, Lambda: 8.716789245605469
Trace: 0.1723245233297348, Lambda: 8.708512306213379
Trace: 0.17232708632946014, Lambda: 8.700235366821289
Trace: 0.17232964932918549, Lambda: 8.6919584274292
Trace: 0.17233221232891083, Lambda: 8.68368148803711
Trace: 0.17233479022979736, Lambda: 8.67540454864502
Trace: 0.1723373532295227, Lambda: 8.66712760925293
Trace: 0.17233991622924805, Lambda: 8.65885066986084
Trace: 0.17234249413013458, Lambda: 8.65057373046875
Trace: 0.17234505712985992, Lambda: 8.64229679107666
Trace: 0.17234762012958527, Lambda: 8.63401985168457
Trace: 0.17235016822814941, Lambda: 8.62574291229248
Trace: 0.17235273122787476, Lambda: 8.61746597290039
Trace: 0.1723552942276001, Lambda: 8.6091890335083
Trace: 0.17235787212848663, Lambda: 8.600913047790527
Trace: 0.17236043512821198, Lambda: 8.592637062072754
Trace: 0.17236299812793732, Lambda: 8.58436107635498
Trace: 0.17236556112766266, Lambda: 8.576085090637207
Trace: 0.1723681390285492, Lambda: 8.567809104919434
Trace: 0.17237070202827454, Lambda: 8.55953311920166
Trace: 0.17237326502799988, Lambda: 8.551257133483887
Trace: 0.1723758429288864, Lambda: 8.542981147766113
Trace: 0.17237840592861176, Lambda: 8.53470516204834
Trace: 0.1723809689283371, Lambda: 8.526429176330566
Trace: 0.17238354682922363, Lambda: 8.518153190612793
Trace: 0.17238610982894897, Lambda: 8.50987720489502
Trace: 0.17238864302635193, Lambda: 8.501601219177246
Trace: 0.17239122092723846, Lambda: 8.493325233459473
Trace: 0.1723937839269638, Lambda: 8.4850492477417
Trace: 0.17239634692668915, Lambda: 8.476773262023926
Trace: 0.17239892482757568, Lambda: 8.468497276306152
Trace: 0.17240148782730103, Lambda: 8.460221290588379
Trace: 0.17240405082702637, Lambda: 8.451945304870605
Trace: 0.1724066287279129, Lambda: 8.443669319152832
Trace: 0.17240919172763824, Lambda: 8.435393333435059
Trace: 0.17241176962852478, Lambda: 8.427117347717285
Trace: 0.17241433262825012, Lambda: 8.418841361999512
Trace: 0.17241689562797546, Lambda: 8.410565376281738
Trace: 0.172419473528862, Lambda: 8.402289390563965
Trace: 0.17242203652858734, Lambda: 8.394013404846191
Trace: 0.17242459952831268, Lambda: 8.385737419128418
Trace: 0.17242714762687683, Lambda: 8.377461433410645
Trace: 0.17242971062660217, Lambda: 8.369185447692871
Trace: 0.1724322885274887, Lambda: 8.360909461975098
Trace: 0.17243485152721405, Lambda: 8.352633476257324
Trace: 0.17243742942810059, Lambda: 8.34435749053955
Trace: 0.17243999242782593, Lambda: 8.336081504821777
Trace: 0.17244257032871246, Lambda: 8.327805519104004
Trace: 0.1724451333284378, Lambda: 8.31952953338623
Trace: 0.17244771122932434, Lambda: 8.311253547668457
Trace: 0.17245027422904968, Lambda: 8.302977561950684
Trace: 0.17245285212993622, Lambda: 8.294702529907227
Trace: 0.17245541512966156, Lambda: 8.28642749786377
Trace: 0.1724579930305481, Lambda: 8.278152465820312
Trace: 0.17246055603027344, Lambda: 8.269877433776855
Trace: 0.1724630892276764, Lambda: 8.261602401733398
Trace: 0.17246566712856293, Lambda: 8.253327369689941
Trace: 0.17246824502944946, Lambda: 8.245052337646484
Trace: 0.1724708080291748, Lambda: 8.236777305603027
Trace: 0.17247338593006134, Lambda: 8.22850227355957
Trace: 0.17247594892978668, Lambda: 8.220227241516113
Trace: 0.17247852683067322, Lambda: 8.211952209472656
Trace: 0.17248108983039856, Lambda: 8.2036771774292
Trace: 0.1724836677312851, Lambda: 8.195402145385742
Trace: 0.17248623073101044, Lambda: 8.187127113342285
Trace: 0.17248879373073578, Lambda: 8.178852081298828
Trace: 0.17249137163162231, Lambda: 8.170577049255371
Trace: 0.17249393463134766, Lambda: 8.162302017211914
Trace: 0.1724964827299118, Lambda: 8.154026985168457
Trace: 0.17249904572963715, Lambda: 8.145751953125
Trace: 0.1725016087293625, Lambda: 8.137476921081543
Trace: 0.17250420153141022, Lambda: 8.129201889038086
Trace: 0.17250676453113556, Lambda: 8.120926856994629
Trace: 0.1725093275308609, Lambda: 8.112651824951172
Trace: 0.17251190543174744, Lambda: 8.104376792907715
Trace: 0.17251446843147278, Lambda: 8.096101760864258
Trace: 0.17251704633235931, Lambda: 8.0878267288208
Trace: 0.17251960933208466, Lambda: 8.079551696777344
Trace: 0.1725221872329712, Lambda: 8.071276664733887
Trace: 0.17252475023269653, Lambda: 8.06300163269043
Trace: 0.17252732813358307, Lambda: 8.054726600646973
Trace: 0.17252987623214722, Lambda: 8.046451568603516
Trace: 0.17253243923187256, Lambda: 8.038176536560059
Trace: 0.1725350171327591, Lambda: 8.029901504516602
Trace: 0.17253758013248444, Lambda: 8.021626472473145
Trace: 0.17254015803337097, Lambda: 8.013351440429688
Trace: 0.1725427359342575, Lambda: 8.00507640838623
Trace: 0.17254531383514404, Lambda: 7.996801853179932
Trace: 0.17254787683486938, Lambda: 7.988527297973633
Trace: 0.17255045473575592, Lambda: 7.980252742767334
Trace: 0.17255301773548126, Lambda: 7.971978187561035
Trace: 0.1725555956363678, Lambda: 7.963703632354736
Trace: 0.17255815863609314, Lambda: 7.9554290771484375
Trace: 0.1725607067346573, Lambda: 7.947154521942139
Trace: 0.17256326973438263, Lambda: 7.93887996673584
Trace: 0.17256584763526917, Lambda: 7.930605411529541
Trace: 0.1725684255361557, Lambda: 7.922330856323242
Trace: 0.17257098853588104, Lambda: 7.914056777954102
Trace: 0.17257356643676758, Lambda: 7.905782699584961
Trace: 0.1725761443376541, Lambda: 7.89750862121582
Trace: 0.17257870733737946, Lambda: 7.88923454284668
Trace: 0.172581285238266, Lambda: 7.880960464477539
Trace: 0.17258384823799133, Lambda: 7.872686386108398
Trace: 0.17258642613887787, Lambda: 7.864412307739258
Trace: 0.1725890040397644, Lambda: 7.856138229370117
Trace: 0.17259153723716736, Lambda: 7.847864151000977
Trace: 0.1725941151380539, Lambda: 7.839590072631836
Trace: 0.17259669303894043, Lambda: 7.831315994262695
Trace: 0.17259925603866577, Lambda: 7.823041915893555
Trace: 0.1726018339395523, Lambda: 7.814767837524414
Trace: 0.17260441184043884, Lambda: 7.806493759155273
Trace: 0.17260697484016418, Lambda: 7.798219680786133
Trace: 0.17260955274105072, Lambda: 7.789945602416992
Trace: 0.17261211574077606, Lambda: 7.781671524047852
Trace: 0.1726146936416626, Lambda: 7.773397445678711
Trace: 0.17261727154254913, Lambda: 7.76512336730957
Trace: 0.17261981964111328, Lambda: 7.756849765777588
Trace: 0.17262239754199982, Lambda: 7.7485761642456055
Trace: 0.17262496054172516, Lambda: 7.740302562713623
Trace: 0.1726275384426117, Lambda: 7.732028961181641
Trace: 0.17263011634349823, Lambda: 7.723755359649658
Trace: 0.17263267934322357, Lambda: 7.715481758117676
Trace: 0.1726352572441101, Lambda: 7.707208156585693
Trace: 0.17263783514499664, Lambda: 7.698934555053711
Trace: 0.17264039814472198, Lambda: 7.6906609535217285
Trace: 0.17264297604560852, Lambda: 7.682387351989746
Trace: 0.17264555394649506, Lambda: 7.674113750457764
Trace: 0.1726481020450592, Lambda: 7.665840148925781
Trace: 0.17265066504478455, Lambda: 7.657566547393799
Trace: 0.17265324294567108, Lambda: 7.649292945861816
Trace: 0.17265582084655762, Lambda: 7.641019344329834
Trace: 0.17265839874744415, Lambda: 7.632745742797852
Trace: 0.1726609766483307, Lambda: 7.624472141265869
Trace: 0.17266355454921722, Lambda: 7.616198539733887
Trace: 0.17266611754894257, Lambda: 7.607924938201904
Trace: 0.1726686954498291, Lambda: 7.59965181350708
Trace: 0.17267127335071564, Lambda: 7.591378688812256
Trace: 0.17267383635044098, Lambda: 7.583105564117432
Trace: 0.17267638444900513, Lambda: 7.574832439422607
Trace: 0.17267896234989166, Lambda: 7.566559314727783
Trace: 0.1726815402507782, Lambda: 7.558286190032959
Trace: 0.17268411815166473, Lambda: 7.550013065338135
Trace: 0.17268669605255127, Lambda: 7.5417399406433105
Trace: 0.1726892590522766, Lambda: 7.533466815948486
Trace: 0.17269183695316315, Lambda: 7.525193691253662
Trace: 0.17269441485404968, Lambda: 7.516920566558838
Trace: 0.17269699275493622, Lambda: 7.508647441864014
Trace: 0.17269957065582275, Lambda: 7.5003743171691895
Trace: 0.1727021038532257, Lambda: 7.492101192474365
Trace: 0.17270468175411224, Lambda: 7.483828067779541
Trace: 0.17270725965499878, Lambda: 7.475554943084717
Trace: 0.17270983755588531, Lambda: 7.467281818389893
Trace: 0.17271241545677185, Lambda: 7.459008693695068
Trace: 0.1727149933576584, Lambda: 7.450736045837402
Trace: 0.17271755635738373, Lambda: 7.442463397979736
Trace: 0.17272013425827026, Lambda: 7.43419075012207
Trace: 0.1727227121591568, Lambda: 7.425918102264404
Trace: 0.17272529006004333, Lambda: 7.417645454406738
Trace: 0.17272783815860748, Lambda: 7.409372806549072
Trace: 0.17273041605949402, Lambda: 7.401100158691406
Trace: 0.17273297905921936, Lambda: 7.39282751083374
Trace: 0.1727355569601059, Lambda: 7.384554862976074
Trace: 0.17273813486099243, Lambda: 7.376282215118408
Trace: 0.17274071276187897, Lambda: 7.368009567260742
Trace: 0.1727432906627655, Lambda: 7.359736919403076
Trace: 0.17274586856365204, Lambda: 7.35146427154541
Trace: 0.17274843156337738, Lambda: 7.343191623687744
Trace: 0.17275099456310272, Lambda: 7.334918975830078
Trace: 0.17275357246398926, Lambda: 7.326646327972412
Trace: 0.1727561503648758, Lambda: 7.318373680114746
Trace: 0.17275872826576233, Lambda: 7.31010103225708
Trace: 0.17276130616664886, Lambda: 7.301828384399414
Trace: 0.1727638691663742, Lambda: 7.293556213378906
Trace: 0.17276644706726074, Lambda: 7.285284042358398
Trace: 0.17276902496814728, Lambda: 7.277011871337891
Trace: 0.1727716028690338, Lambda: 7.268739700317383
Trace: 0.17277418076992035, Lambda: 7.260467529296875
Trace: 0.1727767288684845, Lambda: 7.252195358276367
Trace: 0.17277930676937103, Lambda: 7.243923187255859
Trace: 0.17278188467025757, Lambda: 7.235651016235352
Trace: 0.1727844625711441, Lambda: 7.227378845214844
Trace: 0.17278704047203064, Lambda: 7.219106674194336
Trace: 0.17278961837291718, Lambda: 7.210834503173828
Trace: 0.1727921962738037, Lambda: 7.20256233215332
Trace: 0.17279477417469025, Lambda: 7.1942901611328125
Trace: 0.1727973371744156, Lambda: 7.186017990112305
Trace: 0.17279988527297974, Lambda: 7.177745819091797
Trace: 0.17280246317386627, Lambda: 7.169473648071289
Trace: 0.1728050410747528, Lambda: 7.161201477050781
Trace: 0.17280763387680054, Lambda: 7.152929306030273
Trace: 0.17281021177768707, Lambda: 7.144657611846924
Trace: 0.1728127896785736, Lambda: 7.136385917663574
Trace: 0.17281536757946014, Lambda: 7.128114223480225
Trace: 0.17281794548034668, Lambda: 7.119842529296875
Trace: 0.17282052338123322, Lambda: 7.111570835113525
Trace: 0.17282307147979736, Lambda: 7.103299140930176
Trace: 0.1728256493806839, Lambda: 7.095027446746826
Trace: 0.17282822728157043, Lambda: 7.086755752563477
Trace: 0.17283080518245697, Lambda: 7.078484058380127
Trace: 0.1728333830833435, Lambda: 7.070212364196777
Trace: 0.17283596098423004, Lambda: 7.061940670013428
Trace: 0.17283853888511658, Lambda: 7.053668975830078
Trace: 0.1728411167860031, Lambda: 7.0453972816467285
Trace: 0.17284369468688965, Lambda: 7.037125587463379
Trace: 0.1728462427854538, Lambda: 7.028853893280029
Trace: 0.17284882068634033, Lambda: 7.02058219909668
Trace: 0.17285139858722687, Lambda: 7.01231050491333
Trace: 0.1728539764881134, Lambda: 7.0040388107299805
Trace: 0.17285655438899994, Lambda: 6.995767116546631
Trace: 0.17285913228988647, Lambda: 6.9874958992004395
Trace: 0.172861710190773, Lambda: 6.979224681854248
Trace: 0.17286428809165955, Lambda: 6.970953464508057
Trace: 0.17286686599254608, Lambda: 6.962682247161865
Trace: 0.17286942899227142, Lambda: 6.954411029815674
Trace: 0.17287199199199677, Lambda: 6.946139812469482
Trace: 0.1728745847940445, Lambda: 6.937868595123291
Trace: 0.17287716269493103, Lambda: 6.9295973777771
Trace: 0.17287974059581757, Lambda: 6.921326160430908
Trace: 0.1728823184967041, Lambda: 6.913054943084717
Trace: 0.17288489639759064, Lambda: 6.904783725738525
Trace: 0.17288747429847717, Lambda: 6.896512508392334
Trace: 0.17289002239704132, Lambda: 6.888241291046143
Trace: 0.17289260029792786, Lambda: 6.879970073699951
Trace: 0.1728951781988144, Lambda: 6.87169885635376
Trace: 0.17289775609970093, Lambda: 6.863427639007568
Trace: 0.17290034890174866, Lambda: 6.855156421661377
Trace: 0.1729029268026352, Lambda: 6.8468852043151855
Trace: 0.17290550470352173, Lambda: 6.838614463806152
Trace: 0.17290808260440826, Lambda: 6.830343723297119
Trace: 0.1729106307029724, Lambda: 6.822072982788086
Trace: 0.17291320860385895, Lambda: 6.813802242279053
Trace: 0.17291580140590668, Lambda: 6.8055315017700195
Trace: 0.1729183793067932, Lambda: 6.797260761260986
Trace: 0.17292095720767975, Lambda: 6.788990020751953
Trace: 0.17292353510856628, Lambda: 6.78071928024292
Trace: 0.17292611300945282, Lambda: 6.772448539733887
Trace: 0.17292869091033936, Lambda: 6.7641777992248535
Trace: 0.1729312539100647, Lambda: 6.75590705871582
Trace: 0.17293383181095123, Lambda: 6.747636318206787
Trace: 0.17293640971183777, Lambda: 6.739365577697754
Trace: 0.1729389876127243, Lambda: 6.731094837188721
Trace: 0.17294156551361084, Lambda: 6.7228240966796875
Trace: 0.17294414341449738, Lambda: 6.714553356170654
Trace: 0.1729467213153839, Lambda: 6.706282615661621
Trace: 0.17294929921627045, Lambda: 6.698011875152588
Trace: 0.17295187711715698, Lambda: 6.689741134643555
Trace: 0.17295444011688232, Lambda: 6.68147087097168
Trace: 0.17295701801776886, Lambda: 6.673200607299805
Trace: 0.1729596108198166, Lambda: 6.66493034362793
Trace: 0.17296218872070312, Lambda: 6.656660079956055
Trace: 0.17296476662158966, Lambda: 6.64838981628418
Trace: 0.1729673445224762, Lambda: 6.640119552612305
Trace: 0.17296992242336273, Lambda: 6.63184928894043
Trace: 0.17297248542308807, Lambda: 6.623579025268555
Trace: 0.1729750633239746, Lambda: 6.61530876159668
Trace: 0.17297764122486115, Lambda: 6.607038497924805
Trace: 0.17298021912574768, Lambda: 6.59876823425293
Trace: 0.1729828119277954, Lambda: 6.590497970581055
Trace: 0.17298538982868195, Lambda: 6.58222770690918
Trace: 0.17298796772956848, Lambda: 6.573957443237305
Trace: 0.17299054563045502, Lambda: 6.56568717956543
Trace: 0.17299310863018036, Lambda: 6.557416915893555
Trace: 0.1729956865310669, Lambda: 6.54914665222168
Trace: 0.17299826443195343, Lambda: 6.540876388549805
Trace: 0.17300085723400116, Lambda: 6.532606601715088
Trace: 0.1730034351348877, Lambda: 6.524336814880371
Trace: 0.17300601303577423, Lambda: 6.516067028045654
Trace: 0.17300859093666077, Lambda: 6.5077972412109375
Trace: 0.1730111837387085, Lambda: 6.499527454376221
Trace: 0.17301373183727264, Lambda: 6.491257667541504
Trace: 0.17301630973815918, Lambda: 6.482987880706787
Trace: 0.1730189025402069, Lambda: 6.47471809387207
Trace: 0.17302148044109344, Lambda: 6.4664483070373535
Trace: 0.17302405834197998, Lambda: 6.458178520202637
Trace: 0.17302663624286652, Lambda: 6.44990873336792
Trace: 0.17302922904491425, Lambda: 6.441638946533203
Trace: 0.1730317771434784, Lambda: 6.433369159698486
Trace: 0.17303435504436493, Lambda: 6.4250993728637695
Trace: 0.17303694784641266, Lambda: 6.416829586029053
Trace: 0.1730395257472992, Lambda: 6.408559799194336
Trace: 0.17304210364818573, Lambda: 6.400290012359619
Trace: 0.17304469645023346, Lambda: 6.392020225524902
Trace: 0.17304727435112, Lambda: 6.3837504386901855
Trace: 0.17304985225200653, Lambda: 6.375481128692627
Trace: 0.17305241525173187, Lambda: 6.367211818695068
Trace: 0.1730549931526184, Lambda: 6.35894250869751
Trace: 0.17305757105350494, Lambda: 6.350673198699951
Trace: 0.17306016385555267, Lambda: 6.342403888702393
Trace: 0.1730627417564392, Lambda: 6.334134578704834
Trace: 0.17306533455848694, Lambda: 6.325865268707275
Trace: 0.17306791245937347, Lambda: 6.317595958709717
Trace: 0.17307046055793762, Lambda: 6.309326648712158
Trace: 0.17307303845882416, Lambda: 6.3010573387146
Trace: 0.1730756312608719, Lambda: 6.292788028717041
Trace: 0.17307820916175842, Lambda: 6.284518718719482
Trace: 0.17308080196380615, Lambda: 6.276249408721924
Trace: 0.1730833798646927, Lambda: 6.267980098724365
Trace: 0.17308597266674042, Lambda: 6.259710788726807
Trace: 0.17308852076530457, Lambda: 6.251441478729248
Trace: 0.1730911135673523, Lambda: 6.2431721687316895
Trace: 0.17309369146823883, Lambda: 6.234902858734131
Trace: 0.17309626936912537, Lambda: 6.2266340255737305
Trace: 0.1730988621711731, Lambda: 6.21836519241333
Trace: 0.17310144007205963, Lambda: 6.21009635925293
Trace: 0.17310403287410736, Lambda: 6.201827526092529
Trace: 0.1731065809726715, Lambda: 6.193558692932129
Trace: 0.17310917377471924, Lambda: 6.1852898597717285
Trace: 0.17311175167560577, Lambda: 6.177021026611328
Trace: 0.1731143444776535, Lambda: 6.168752193450928
Trace: 0.17311693727970123, Lambda: 6.160483360290527
Trace: 0.17311951518058777, Lambda: 6.152214527130127
Trace: 0.1731220930814743, Lambda: 6.143945693969727
Trace: 0.17312465608119965, Lambda: 6.135676860809326
Trace: 0.17312723398208618, Lambda: 6.127408027648926
Trace: 0.17312981188297272, Lambda: 6.119139194488525
Trace: 0.17313240468502045, Lambda: 6.110870361328125
Trace: 0.17313499748706818, Lambda: 6.102601528167725
Trace: 0.1731375753879547, Lambda: 6.094332695007324
Trace: 0.17314015328884125, Lambda: 6.086063861846924
Trace: 0.1731427162885666, Lambda: 6.077795028686523
Trace: 0.17314529418945312, Lambda: 6.069526672363281
Trace: 0.17314788699150085, Lambda: 6.061258316040039
Trace: 0.1731504648923874, Lambda: 6.052989959716797
Trace: 0.17315305769443512, Lambda: 6.044721603393555
Trace: 0.17315563559532166, Lambda: 6.0364532470703125
Trace: 0.17315822839736938, Lambda: 6.02818489074707
Trace: 0.17316077649593353, Lambda: 6.019916534423828
Trace: 0.17316336929798126, Lambda: 6.011648178100586
Trace: 0.173165962100029, Lambda: 6.003379821777344
Trace: 0.17316854000091553, Lambda: 5.995111465454102
Trace: 0.17317113280296326, Lambda: 5.986843109130859
Trace: 0.1731737107038498, Lambda: 5.978574752807617
Trace: 0.17317627370357513, Lambda: 5.970306396484375
Trace: 0.17317885160446167, Lambda: 5.962038040161133
Trace: 0.1731814444065094, Lambda: 5.953769683837891
Trace: 0.17318402230739594, Lambda: 5.945501327514648
Trace: 0.17318661510944366, Lambda: 5.937232971191406
Trace: 0.1731892079114914, Lambda: 5.928964614868164
Trace: 0.17319178581237793, Lambda: 5.92069673538208
Trace: 0.17319434881210327, Lambda: 5.912428855895996
Trace: 0.1731969267129898, Lambda: 5.904160976409912
Trace: 0.17319951951503754, Lambda: 5.895893096923828
Trace: 0.17320209741592407, Lambda: 5.887625217437744
Trace: 0.1732046902179718, Lambda: 5.87935733795166
